method,n_total,n_fake,n_real,tp,fp,tn,fn,tpr,fpr,precision,recall,f1,accuracy,roc_auc,pr_auc,mean_conf_fake,mean_conf_real,mean_elapsed_time,p95_elapsed_time
ft_default,1870,898,972,879,28,944,19,0.9788418708240535,0.02880658436213992,0.9691289966923925,0.9788418708240535,0.9739612188365652,0.9748663101604278,0.9770798390570724,0.9865134795168283,0.9757440004555844,0.04298680224737009,0.09460199121485416,0.16298204660415644
patch_max,916,816,100,802,99,1,14,0.9828431372549019,0.99,0.8901220865704772,0.9828431372549019,0.9341875364006988,0.8766375545851528,0.4790441176470588,0.8971855887871556,0.9031089962204444,0.9236343023180962,0.6260150663196781,0.7199538350105286
patch_majority,996,896,100,329,52,48,567,0.3671875,0.52,0.863517060367454,0.3671875,0.5152701644479247,0.3785140562248996,0.42910156250000003,0.8888662288041053,0.3671875,0.516106840968132,0.6050099606016075,0.6757226586341858
grid_max,604,504,100,492,86,14,12,0.9761904761904762,0.86,0.8512110726643599,0.9761904761904762,0.9094269870609982,0.8377483443708609,0.6088492063492064,0.8808203748877965,0.878608368100628,0.7972583030804992,0.3589638842652176,0.4239651203155518
grid_majority,995,895,100,372,54,46,523,0.41564245810055866,0.54,0.8732394366197183,0.41564245810055866,0.5632096896290689,0.4201005025125628,0.4586033519553072,0.897308415735748,0.41564245810055866,0.5255382946133613,0.2819382164346513,0.395162010192871
