model,quantization,steps,guidance,strength,weighted_fake_rate,weighted_avg_confidence,total_samples
sd15,fp16,40,6.5,0.45,0.8333333333333334,0.7129440015474956,6
sd15,fp4,30,3.5,0.6,0.8333333333333334,0.7776172462940215,6
sd15,fp8,40,6.5,0.45,0.8333333333333334,0.6978539749622344,6
sd3,fp16,30,6.5,0.6,0.5,0.6230425258129849,6
sd3,fp4,30,3.5,0.3,0.5,0.577046563021342,6
sd3,fp8,40,6.5,0.3,0.5,0.558424793291092,6
sd35,fp16,30,3.5,0.6,0.5,0.6073189171981324,6
sd35,fp4,30,5.0,0.6,0.5,0.5640073989391459,6
sd35,fp8,30,5.0,0.6,0.6666666666666666,0.6430331337749982,6
