model,quantization,steps,guidance,strength,weighted_fake_rate,weighted_avg_confidence,total_samples
sd15,fp16,30,3.5,0.3,0.5,0.5229290434439977,6
sd15,fp4,30,3.5,0.3,0.5,0.5279075584808985,6
sd15,fp8,30,3.5,0.3,0.5,0.5073002428054809,6
sd3,fp16,40,3.5,0.6,0.16666666666666666,0.33731533199528413,6
sd3,fp4,30,3.5,0.6,0.3333333333333333,0.46457262735887533,6
sd3,fp8,30,6.5,0.45,0.0,0.23575967797935105,6
sd35,fp16,50,6.5,0.45,0.16666666666666666,0.36496934608814807,6
sd35,fp4,50,3.5,0.6,0.16666666666666666,0.35126930039477916,6
sd35,fp8,30,6.5,0.3,0.16666666666666666,0.42787882754802703,6
